ISO,Country Name,Region,Disaster Type,Disaster Subgroup,Disaster_Count
POL,Poland,Europe,Storm,Meteorological,22
PRK,North Korea,Asia,Flood,Hydrological,22
SOM,Somalia,Africa,Epidemic,Biological,22
AFG,Afghanistan,Asia,Earthquake,Geophysical,22
SAU,Saudi Arabia,Asia,Flood,Hydrological,22
GRC,Greece,Europe,Flood,Hydrological,22
ZMB,Zambia,Africa,Flood,Hydrological,22
MOZ,Mozambique,Africa,Epidemic,Biological,21
PER,Peru,South America,Earthquake,Geophysical,21
ZWE,Zimbabwe,Africa,Epidemic,Biological,21
CRI,Costa Rica,South America,Flood,Hydrological,21
GTM,Guatemala,South America,Storm,Meteorological,21
BIH,Bosnia and Herz.,Europe,Flood,Hydrological,21
KHM,Cambodia,Asia,Flood,Hydrological,21
KOR,South Korea,Asia,Flood,Hydrological,21
NIC,Nicaragua,South America,Storm,Meteorological,20
HND,Honduras,South America,Storm,Meteorological,20
TZA,Tanzania,Africa,Epidemic,Biological,20
SRB,Serbia,Europe,Flood,Hydrological,20
MAR,Morocco,Africa,Flood,Hydrological,20
FJI,Fiji,Oceania,Storm,Meteorological,20
URY,Uruguay,South America,Flood,Hydrological,20
PAK,Pakistan,Asia,Storm,Meteorological,20
BRA,Brazil,South America,Storm,Meteorological,20
JAM,Jamaica,South America,Storm,Meteorological,19
POL,Poland,Europe,Extreme Temperature,Meteorological,19
FRA,France,Europe,Extreme Temperature,Meteorological,19
LAO,Lao PDR,Asia,Flood,Hydrological,19
ARG,Argentina,South America,Storm,Meteorological,19
CHE,Switzerland,Europe,Storm,Meteorological,19
ESP,Spain,Europe,Storm,Meteorological,19
RUS,Russia,Europe,Wildfire,Climatological,19
SLV,El Salvador,South America,Storm,Meteorological,19
TCD,Chad,Africa,Flood,Hydrological,19
ROU,Romania,Europe,Extreme Temperature,Meteorological,18
BEN,Benin,Africa,Epidemic,Biological,18
PHL,Philippines,Asia,Volcanic Activity,Geophysical,18
BFA,Burkina Faso,Africa,Flood,Hydrological,18
RUS,Russia,Europe,Storm,Meteorological,18
JPN,Japan,Asia,Extreme Temperature,Meteorological,18
TCD,Chad,Africa,Epidemic,Biological,18
NAM,Namibia,Africa,Flood,Hydrological,18
PAK,Pakistan,Asia,Earthquake,Geophysical,18
AFG,Afghanistan,Asia,Epidemic,Biological,17
COG,Congo,Africa,Epidemic,Biological,17
PHL,Philippines,Asia,Mass Movement,Hydrological,17
USA,United States,North America,Extreme Temperature,Meteorological,17
GEO,Georgia,Asia,Flood,Hydrological,17
NZL,New Zealand,Oceania,Flood,Hydrological,17
PRY,Paraguay,South America,Flood,Hydrological,17
LKA,Sri Lanka,Asia,Storm,Meteorological,17
NPL,Nepal,Asia,Mass Movement,Hydrological,17
SSD,S. Sudan,Africa,Flood,Hydrological,17
CHL,Chile,South America,Wildfire,Climatological,17
SEN,Senegal,Africa,Flood,Hydrological,16
IRQ,Iraq,Asia,Flood,Hydrological,16
USA,United States,North America,Drought,Climatological,16
CMR,Cameroon,Africa,Flood,Hydrological,16
BEL,Belgium,Europe,Storm,Meteorological,16
BHS,Bahamas,South America,Storm,Meteorological,16
HKG,Hong Kong,Asia,Storm,Meteorological,16
GIN,Guinea,Africa,Flood,Hydrological,16
MRT,Mauritania,Africa,Flood,Hydrological,16
NIC,Nicaragua,South America,Flood,Hydrological,16
BEL,Belgium,Europe,Extreme Temperature,Meteorological,15
PAK,Pakistan,Asia,Mass Movement,Hydrological,15
PNG,Papua New Guinea,Oceania,Flood,Hydrological,15
CAN,Canada,North America,Wildfire,Climatological,15
BGD,Bangladesh,Asia,Extreme Temperature,Meteorological,15
DEU,Germany,Europe,Extreme Temperature,Meteorological,15
CAF,Central African Rep.,Africa,Flood,Hydrological,15
TJK,Tajikistan,Asia,Earthquake,Geophysical,14
CZE,Czech Rep.,Europe,Flood,Hydrological,14
GIN,Guinea,Africa,Epidemic,Biological,14
HRV,Croatia,Europe,Flood,Hydrological,14
KAZ,Kazakhstan,Asia,Flood,Hydrological,14
PER,Peru,South America,Mass Movement,Hydrological,14
ZMB,Zambia,Africa,Epidemic,Biological,14
NLD,Netherlands,Europe,Storm,Meteorological,14
CIV,Côte d'Ivoire,Africa,Flood,Hydrological,14
BFA,Burkina Faso,Africa,Epidemic,Biological,14
MWI,Malawi,Africa,Epidemic,Biological,13
PRI,Puerto Rico,South America,Storm,Meteorological,13
PAK,Pakistan,Asia,Extreme Temperature,Meteorological,13
PNG,Papua New Guinea,Oceania,Mass Movement,Hydrological,13
GBR,United Kingdom,Europe,Extreme Temperature,Meteorological,13
BRA,Brazil,South America,Drought,Climatological,13
MMR,Myanmar,Asia,Storm,Meteorological,13
ITA,Italy,Europe,Extreme Temperature,Meteorological,13
AGO,Angola,Africa,Epidemic,Biological,13
MEX,Mexico,South America,Earthquake,Geophysical,13
PRT,Portugal,Europe,Wildfire,Climatological,13
CMR,Cameroon,Africa,Epidemic,Biological,13
COG,Congo,Africa,Flood,Hydrological,13
NZL,New Zealand,Oceania,Storm,Meteorological,12
CZE,Czech Rep.,Europe,Storm,Meteorological,12
DEU,Germany,Europe,Flood,Hydrological,12
UKR,Ukraine,Europe,Flood,Hydrological,12
SLE,Sierra Leone,Africa,Flood,Hydrological,12
ITA,Italy,Europe,Earthquake,Geophysical,12
UGA,Uganda,Africa,Mass Movement,Hydrological,12
AUT,Austria,Europe,Storm,Meteorological,12
PNG,Papua New Guinea,Oceania,Earthquake,Geophysical,12
COD,Dem. Rep. Congo,Africa,Mass Movement,Hydrological,12
ESP,Spain,Europe,Wildfire,Climatological,12
ALB,Albania,Europe,Flood,Hydrological,12
IRN,Iran,Asia,Storm,Meteorological,12
RUS,Russia,Europe,Extreme Temperature,Meteorological,12
BEN,Benin,Africa,Flood,Hydrological,12
ZWE,Zimbabwe,Africa,Flood,Hydrological,12
VUT,Vanuatu,Oceania,Storm,Meteorological,12
SLV,El Salvador,South America,Flood,Hydrological,12
IRL,Ireland,Europe,Storm,Meteorological,11
GTM,Guatemala,South America,Mass Movement,Hydrological,11
ECU,Ecuador,South America,Volcanic Activity,Geophysical,11
GRC,Greece,Europe,Wildfire,Climatological,11
GRC,Greece,Europe,Earthquake,Geophysical,11
IND,India,Asia,Earthquake,Geophysical,11
MDG,Madagascar,Africa,Flood,Hydrological,11
MMR,Myanmar,Asia,Mass Movement,Hydrological,11
MNG,Mongolia,Asia,Flood,Hydrological,11
MOZ,Mozambique,Africa,Drought,Climatological,11
GHA,Ghana,Africa,Epidemic,Biological,11
HUN,Hungary,Europe,Flood,Hydrological,11
BLZ,Belize,South America,Storm,Meteorological,11
SOM,Somalia,Africa,Drought,Climatological,11
SRB,Serbia,Europe,Extreme Temperature,Meteorological,11
USA,United States,North America,Earthquake,Geophysical,11
BGR,Bulgaria,Europe,Extreme Temperature,Meteorological,11
PAK,Pakistan,Asia,Epidemic,Biological,11
CUB,Cuba,South America,Flood,Hydrological,11
SVK,Slovakia,Europe,Flood,Hydrological,11
NLD,Netherlands,Europe,Extreme Temperature,Meteorological,11
PHL,Philippines,Asia,Epidemic,Biological,11
CIV,Côte d'Ivoire,Africa,Epidemic,Biological,11
COL,Colombia,South America,Storm,Meteorological,11
SLB,Solomon Is.,Oceania,Storm,Meteorological,10
PER,Peru,South America,Extreme Temperature,Meteorological,10
MKD,Macedonia,Europe,Flood,Hydrological,10
KEN,Kenya,Africa,Drought,Climatological,10
MNG,Mongolia,Asia,Storm,Meteorological,10
GMB,Gambia,Africa,Flood,Hydrological,10
AUT,Austria,Europe,Flood,Hydrological,10
TGO,Togo,Africa,Flood,Hydrological,10
TWN,Taiwan,Asia,Earthquake,Geophysical,10
TJK,Tajikistan,Asia,Mass Movement,Hydrological,10
ROU,Romania,Europe,Storm,Meteorological,10
BGD,Bangladesh,Asia,Epidemic,Biological,10
CAF,Central African Rep.,Africa,Epidemic,Biological,10
NPL,Nepal,Asia,Epidemic,Biological,10
BDI,Burundi,Africa,Epidemic,Biological,10
TUR,Turkey,Asia,Storm,Meteorological,10
CAF,Central African Rep.,Africa,Storm,Meteorological,10
POL,Poland,Europe,Flood,Hydrological,10
HND,Honduras,South America,Drought,Climatological,9
ETH,Ethiopia,Africa,Drought,Climatological,9
LAO,Lao PDR,Asia,Storm,Meteorological,9
YEM,Yemen,Asia,Epidemic,Biological,9
CHN,China,Asia,Extreme Temperature,Meteorological,9
PRT,Portugal,Europe,Extreme Temperature,Meteorological,9
REU,Réunion,Africa,Storm,Meteorological,9
BWA,Botswana,Africa,Flood,Hydrological,9
MLI,Mali,Africa,Epidemic,Biological,9
ZWE,Zimbabwe,Africa,Storm,Meteorological,9
AUT,Austria,Europe,Extreme Temperature,Meteorological,9
IDN,Indonesia,Asia,Storm,Meteorological,9
BEL,Belgium,Europe,Flood,Hydrological,9
CZE,Czech Rep.,Europe,Extreme Temperature,Meteorological,9
TON,Tonga,Oceania,Storm,Meteorological,9
GTM,Guatemala,South America,Earthquake,Geophysical,9
MWI,Malawi,Africa,Storm,Meteorological,9
OMN,Oman,Asia,Storm,Meteorological,9
VUT,Vanuatu,Oceania,Volcanic Activity,Geophysical,9
ESP,Spain,Europe,Extreme Temperature,Meteorological,9
SSD,S. Sudan,Africa,Epidemic,Biological,9
HUN,Hungary,Europe,Extreme Temperature,Meteorological,9
UKR,Ukraine,Europe,Extreme Temperature,Meteorological,8
BOL,Bolivia,South America,Drought,Climatological,8
VCT,St. Vin. and Gren.,South America,Storm,Meteorological,8
CHE,Switzerland,Europe,Extreme Temperature,Meteorological,8
TUN,Tunisia,Africa,Flood,Hydrological,8
KGZ,Kyrgyzstan,Asia,Mass Movement,Hydrological,8
THA,Thailand,Asia,Drought,Climatological,8
SVK,Slovakia,Europe,Extreme Temperature,Meteorological,8
LBR,Liberia,Africa,Epidemic,Biological,8
GRC,Greece,Europe,Storm,Meteorological,8
TGO,Togo,Africa,Epidemic,Biological,8
KHM,Cambodia,Asia,Storm,Meteorological,8
TZA,Tanzania,Africa,Storm,Meteorological,8
UKR,Ukraine,Europe,Storm,Meteorological,8
BRA,Brazil,South America,Mass Movement,Hydrological,8
CHL,Chile,South America,Earthquake,Geophysical,8
PNG,Papua New Guinea,Oceania,Volcanic Activity,Geophysical,8
PRY,Paraguay,South America,Epidemic,Biological,8
HTI,Haiti,South America,Epidemic,Biological,8
COL,Colombia,South America,Earthquake,Geophysical,8
